Store,StoreType,Assortment,CompetitionDistance,CompetitionOpenSinceMonth,CompetitionOpenSinceYear,Promo2,Promo2SinceWeek,Promo2SinceYear,PromoInterval_1,PromoInterval_2,PromoInterval_3,PromoInterval_4
1,2,0,1270,9,2008,0,0,2008,Jan,Apr,Jul,Oct
2,0,0,570,11,2007,1,13,2007,Jan,Apr,Jul,Oct
3,0,0,14130,12,2006,1,14,2006,Jan,Apr,Jul,Oct
4,2,2,620,9,2009,0,0,2009,Jan,Apr,Jul,Oct
5,0,0,16107,4,2015,0,0,2015,Jan,Apr,Jul,Oct
6,0,0,310,12,2013,0,0,2013,Jan,Apr,Jul,Oct
7,0,2,16107,4,2013,0,0,2013,Jan,Apr,Jul,Oct
8,0,0,7520,10,2014,0,0,2014,Jan,Apr,Jul,Oct
9,0,2,2030,8,2000,0,0,2000,Jan,Apr,Jul,Oct
10,0,0,3160,9,2009,0,0,2009,Jan,Apr,Jul,Oct
11,0,2,960,11,2011,1,1,2011,Jan,Apr,Jul,Oct
12,0,2,1070,1,1990,1,13,1990,Jan,Apr,Jul,Oct
13,3,0,310,1,1990,1,45,1990,Feb,May,Aug,Nov
14,0,0,1300,3,2014,1,40,2014,Jan,Apr,Jul,Oct
15,3,2,4110,3,2010,1,14,2010,Jan,Apr,Jul,Oct
16,0,2,3270,1,1990,0,0,1990,Jan,Apr,Jul,Oct
17,0,0,50,12,2005,1,26,2005,Jan,Apr,Jul,Oct
18,3,2,13840,6,2010,1,14,2010,Jan,Apr,Jul,Oct
19,0,2,3240,1,1990,1,22,1990,Mar,Jun,Sept,Dec
20,3,0,2340,5,2009,1,40,2009,Jan,Apr,Jul,Oct
21,2,2,550,10,1999,1,45,1999,Jan,Apr,Jul,Oct
22,0,0,1040,1,1990,1,22,1990,Jan,Apr,Jul,Oct
23,3,0,4060,8,2005,0,0,2005,Jan,Apr,Jul,Oct
24,0,2,4590,3,2000,1,40,2000,Jan,Apr,Jul,Oct
25,2,0,430,4,2003,0,0,2003,Jan,Apr,Jul,Oct
26,3,0,2300,1,1990,0,0,1990,Jan,Apr,Jul,Oct
27,0,0,60,1,2005,1,5,2005,Jan,Apr,Jul,Oct
28,0,0,1200,10,2014,1,6,2014,Mar,Jun,Sept,Dec
29,3,2,2170,1,1990,0,0,1990,Jan,Apr,Jul,Oct
30,0,0,40,2,2014,1,10,2014,Mar,Jun,Sept,Dec
31,3,2,9800,7,2012,0,0,2012,Jan,Apr,Jul,Oct
32,0,0,2910,1,1990,1,45,1990,Feb,May,Aug,Nov
33,0,2,1320,5,2013,0,0,2013,Jan,Apr,Jul,Oct
34,2,0,2240,9,2009,0,0,2009,Jan,Apr,Jul,Oct
35,3,2,7660,10,2000,1,1,2000,Jan,Apr,Jul,Oct
36,0,2,540,6,2003,1,40,2003,Jan,Apr,Jul,Oct
37,2,0,4230,12,2014,0,0,2014,Jan,Apr,Jul,Oct
38,3,0,1090,4,2007,0,0,2007,Jan,Apr,Jul,Oct
39,0,0,260,10,2006,1,31,2006,Feb,May,Aug,Nov
40,0,0,180,1,1990,1,45,1990,Feb,May,Aug,Nov
41,3,2,1180,1,1990,1,31,1990,Jan,Apr,Jul,Oct
42,0,2,290,1,1990,1,40,1990,Jan,Apr,Jul,Oct
43,3,0,4880,1,1990,1,37,1990,Jan,Apr,Jul,Oct
44,0,0,540,6,2011,0,0,2011,Jan,Apr,Jul,Oct
45,3,0,9710,2,2014,0,0,2014,Jan,Apr,Jul,Oct
46,2,0,1200,9,2005,1,14,2005,Jan,Apr,Jul,Oct
47,0,2,270,4,2013,1,14,2013,Jan,Apr,Jul,Oct
48,0,0,1060,5,2012,0,0,2012,Jan,Apr,Jul,Oct
49,3,2,16107,9,2007,0,0,2007,Jan,Apr,Jul,Oct
50,3,0,6260,11,2009,0,0,2009,Jan,Apr,Jul,Oct
51,0,2,10570,7,2013,1,9,2013,Jan,Apr,Jul,Oct
52,3,2,450,4,2014,1,39,2014,Jan,Apr,Jul,Oct
53,0,2,16107,9,2013,0,0,2013,Jan,Apr,Jul,Oct
54,3,2,7170,8,2014,1,5,2014,Feb,May,Aug,Nov
55,0,0,720,11,2004,0,0,2004,Jan,Apr,Jul,Oct
56,3,2,6620,3,2012,1,10,2012,Mar,Jun,Sept,Dec
57,3,2,420,6,2014,0,0,2014,Jan,Apr,Jul,Oct
58,0,2,7340,5,2008,1,27,2008,Jan,Apr,Jul,Oct
59,0,2,2840,6,2007,1,14,2007,Jan,Apr,Jul,Oct
60,3,2,5540,10,2009,0,0,2009,Jan,Apr,Jul,Oct
61,0,2,350,12,2007,1,1,2007,Jan,Apr,Jul,Oct
62,0,0,2050,1,1990,0,0,1990,Jan,Apr,Jul,Oct
63,2,2,3700,6,2010,1,18,2010,Feb,May,Aug,Nov
64,3,2,16107,1,1990,1,14,1990,Jan,Apr,Jul,Oct
65,0,2,13840,5,2010,1,1,2010,Jan,Apr,Jul,Oct
66,3,0,7660,1,1990,1,37,1990,Jan,Apr,Jul,Oct
67,0,2,410,2,2006,0,0,2006,Jan,Apr,Jul,Oct
68,0,2,250,1,1990,1,35,1990,Mar,Jun,Sept,Dec
69,2,2,1130,1,1990,1,40,1990,Jan,Apr,Jul,Oct
70,2,2,4840,1,1990,0,0,1990,Jan,Apr,Jul,Oct
71,0,0,16107,8,2008,1,37,2008,Mar,Jun,Sept,Dec
72,0,0,2200,12,2009,1,13,2009,Jan,Apr,Jul,Oct
73,0,2,1650,9,2008,0,0,2008,Jan,Apr,Jul,Oct
74,0,0,330,1,1990,0,0,1990,Jan,Apr,Jul,Oct
75,3,2,16107,12,2013,0,0,2013,Jan,Apr,Jul,Oct
76,3,2,16107,3,2006,0,0,2006,Jan,Apr,Jul,Oct
77,3,2,1090,8,2009,1,10,2009,Jan,Apr,Jul,Oct
78,0,0,3510,11,2006,1,5,2006,Feb,May,Aug,Nov
79,0,0,3320,1,1990,0,0,1990,Jan,Apr,Jul,Oct
80,3,0,7910,1,1990,0,0,1990,Jan,Apr,Jul,Oct
81,0,0,2370,3,2011,1,40,2011,Jan,Apr,Jul,Oct
82,0,0,16107,4,2008,1,37,2008,Jan,Apr,Jul,Oct
83,0,0,2710,1,1990,0,0,1990,Jan,Apr,Jul,Oct
84,0,2,11810,8,2014,0,0,2014,Jan,Apr,Jul,Oct
85,1,0,1870,10,2011,0,0,2011,Jan,Apr,Jul,Oct
86,0,0,480,2,2005,1,31,2005,Jan,Apr,Jul,Oct
87,0,0,560,12,2010,0,0,2010,Jan,Apr,Jul,Oct
88,0,0,10690,10,2005,0,0,2005,Jan,Apr,Jul,Oct
89,0,0,2380,7,2004,1,40,2004,Jan,Apr,Jul,Oct
90,0,0,330,11,2007,0,0,2007,Jan,Apr,Jul,Oct
91,2,0,2410,1,1990,1,35,1990,Jan,Apr,Jul,Oct
92,2,0,240,1,1990,1,45,1990,Feb,May,Aug,Nov
93,0,0,16107,1,1990,1,14,1990,Jan,Apr,Jul,Oct
94,3,2,14620,1,1990,0,0,1990,Jan,Apr,Jul,Oct
95,0,0,1890,10,2014,0,0,2014,Jan,Apr,Jul,Oct
96,0,0,8780,2,2005,1,37,2005,Jan,Apr,Jul,Oct
97,3,2,8980,1,1990,0,0,1990,Jan,Apr,Jul,Oct
98,3,2,15140,12,2006,1,1,2006,Jan,Apr,Jul,Oct
99,2,2,2030,11,2003,1,22,2003,Mar,Jun,Sept,Dec
100,3,0,16107,1,1990,0,0,1990,Jan,Apr,Jul,Oct
101,3,2,2440,1,1990,1,22,1990,Mar,Jun,Sept,Dec
102,0,0,150,12,2007,1,10,2007,Mar,Jun,Sept,Dec
103,3,2,5210,5,2015,0,0,2015,Jan,Apr,Jul,Oct
104,0,0,390,6,2009,0,0,2009,Jan,Apr,Jul,Oct
105,0,2,6190,1,1990,1,23,1990,Mar,Jun,Sept,Dec
106,0,0,1390,8,2013,0,0,2013,Jan,Apr,Jul,Oct
107,0,0,1930,9,2009,0,0,2009,Jan,Apr,Jul,Oct
108,3,2,2190,9,2003,0,0,2003,Jan,Apr,Jul,Oct
109,0,2,3300,11,2010,0,0,2010,Jan,Apr,Jul,Oct
110,0,2,16107,4,2013,0,0,2013,Jan,Apr,Jul,Oct
111,3,2,7890,1,1990,1,37,1990,Jan,Apr,Jul,Oct
112,0,0,1630,9,2009,0,0,2009,Jan,Apr,Jul,Oct
113,3,2,16107,11,1999,0,0,1999,Jan,Apr,Jul,Oct
114,2,0,4510,1,1990,1,48,1990,Mar,Jun,Sept,Dec
115,3,2,5740,4,2007,1,40,2007,Jan,Apr,Jul,Oct
116,0,0,680,4,2013,0,0,2013,Jan,Apr,Jul,Oct
117,0,0,3450,9,2011,0,0,2011,Jan,Apr,Jul,Oct
118,3,2,3580,9,2012,0,0,2012,Jan,Apr,Jul,Oct
119,0,2,2100,2,2010,0,0,2010,Jan,Apr,Jul,Oct
120,3,0,2290,12,2014,1,37,2014,Jan,Apr,Jul,Oct
121,0,0,3570,11,2009,1,36,2009,Mar,Jun,Sept,Dec
122,0,2,16107,4,2013,0,0,2013,Jan,Apr,Jul,Oct
123,0,0,16107,9,2011,0,0,2011,Jan,Apr,Jul,Oct
124,0,0,1410,4,2003,0,0,2003,Jan,Apr,Jul,Oct
125,0,0,760,12,2005,0,0,2005,Jan,Apr,Jul,Oct
126,3,0,3370,10,2014,1,18,2014,Feb,May,Aug,Nov
127,3,0,1350,12,2005,1,13,2005,Jan,Apr,Jul,Oct
128,3,2,2000,1,1990,1,1,1990,Jan,Apr,Jul,Oct
129,0,0,2460,1,1990,1,14,1990,Jan,Apr,Jul,Oct
130,2,0,900,1,1990,1,13,1990,Jan,Apr,Jul,Oct
131,2,0,920,7,2015,0,0,2015,Jan,Apr,Jul,Oct
132,3,2,1040,1,1990,1,27,1990,Jan,Apr,Jul,Oct
133,0,0,270,8,2013,1,10,2013,Mar,Jun,Sept,Dec
134,0,0,1200,9,2008,0,0,2008,Jan,Apr,Jul,Oct
135,3,0,5190,1,1990,1,1,1990,Jan,Apr,Jul,Oct
136,0,2,2200,12,2010,1,22,2010,Feb,May,Aug,Nov
137,0,0,1730,7,2015,1,40,2015,Jan,Apr,Jul,Oct
138,0,2,16107,10,2014,0,0,2014,Jan,Apr,Jul,Oct
139,0,0,1700,1,2008,1,14,2008,Jan,Apr,Jul,Oct
140,0,2,1090,7,2010,1,1,2010,Jan,Apr,Jul,Oct
141,2,2,1540,1,1990,1,22,1990,Mar,Jun,Sept,Dec
142,0,0,1090,7,2002,0,0,2002,Jan,Apr,Jul,Oct
143,3,0,2930,12,2002,0,0,2002,Jan,Apr,Jul,Oct
144,0,2,16107,1,1990,0,0,1990,Jan,Apr,Jul,Oct
145,0,0,280,1,1990,1,45,1990,Feb,May,Aug,Nov
146,3,2,8050,10,1961,1,48,1961,Jan,Apr,Jul,Oct
147,3,2,8540,1,1990,0,0,1990,Jan,Apr,Jul,Oct
148,0,0,2090,12,2008,0,0,2008,Jan,Apr,Jul,Oct
149,3,0,2610,7,2006,1,14,2006,Jan,Apr,Jul,Oct
150,2,2,16107,3,2010,0,0,2010,Jan,Apr,Jul,Oct
151,3,2,4360,10,2005,0,0,2005,Jan,Apr,Jul,Oct
152,0,0,1780,1,1990,0,0,1990,Jan,Apr,Jul,Oct
153,0,0,16107,10,2000,1,18,2000,Feb,May,Aug,Nov
154,3,2,16107,1,1990,0,0,1990,Jan,Apr,Jul,Oct
155,3,0,3050,1,1990,1,35,1990,Jan,Apr,Jul,Oct
156,0,0,2020,2,2011,1,14,2011,Mar,Jun,Sept,Dec
157,0,2,2950,10,2004,0,0,2004,Jan,Apr,Jul,Oct
158,3,2,11840,1,1990,1,31,1990,Feb,May,Aug,Nov
159,3,0,8530,3,2013,0,0,2013,Jan,Apr,Jul,Oct
160,3,2,16107,11,2005,0,0,2005,Jan,Apr,Jul,Oct
161,0,2,2970,3,2005,0,0,2005,Jan,Apr,Jul,Oct
162,3,2,5340,3,2012,1,13,2012,Jan,Apr,Jul,Oct
163,0,0,1480,4,2009,0,0,2009,Jan,Apr,Jul,Oct
164,0,0,1160,9,2005,1,13,2005,Jan,Apr,Jul,Oct
165,0,0,3720,4,2005,1,13,2005,Jan,Apr,Jul,Oct
166,0,2,100,4,2014,1,31,2014,Jan,Apr,Jul,Oct
167,0,0,140,4,2008,0,0,2008,Jan,Apr,Jul,Oct
168,0,0,12540,1,1990,0,0,1990,Jan,Apr,Jul,Oct
169,3,0,980,7,2014,1,18,2014,Feb,May,Aug,Nov
170,0,0,1070,5,2015,1,14,2015,Jan,Apr,Jul,Oct
171,0,0,2640,1,1990,0,0,1990,Jan,Apr,Jul,Oct
172,0,0,110,1,1990,1,40,1990,Jan,Apr,Jul,Oct
173,0,0,350,12,2012,0,0,2012,Jan,Apr,Jul,Oct
174,0,0,13090,1,1990,1,22,1990,Jan,Apr,Jul,Oct
175,2,0,4130,1,1990,0,0,1990,Jan,Apr,Jul,Oct
176,0,0,3770,1,1990,0,0,1990,Jan,Apr,Jul,Oct
177,0,0,1250,2,2004,1,5,2004,Feb,May,Aug,Nov
178,3,0,1710,1,1990,0,0,1990,Jan,Apr,Jul,Oct
179,0,2,480,1,1990,0,0,1990,Jan,Apr,Jul,Oct
180,3,0,5800,9,2010,0,0,2010,Jan,Apr,Jul,Oct
181,0,0,12610,3,2013,1,14,2013,Jan,Apr,Jul,Oct
182,3,2,1390,1,1990,1,9,1990,Mar,Jun,Sept,Dec
183,0,0,9670,1,1990,0,0,1990,Jan,Apr,Jul,Oct
184,3,2,3560,1,1990,0,0,1990,Jan,Apr,Jul,Oct
185,3,2,1860,5,2015,0,0,2015,Jan,Apr,Jul,Oct
186,0,0,290,10,2011,1,40,2011,Jan,Apr,Jul,Oct
187,0,2,16107,1,1990,0,0,1990,Jan,Apr,Jul,Oct
188,3,0,850,1,1990,1,18,1990,Feb,May,Aug,Nov
189,3,0,5760,7,2014,0,0,2014,Jan,Apr,Jul,Oct
190,0,0,1470,12,2006,1,40,2006,Jan,Apr,Jul,Oct
191,0,0,1100,8,2013,1,40,2013,Jan,Apr,Jul,Oct
192,3,2,2770,3,2008,1,40,2008,Jan,Apr,Jul,Oct
193,0,0,520,1,1990,0,0,1990,Jan,Apr,Jul,Oct
194,3,2,16107,1,1990,1,5,1990,Feb,May,Aug,Nov
195,0,2,220,1,1990,0,0,1990,Jan,Apr,Jul,Oct
196,2,0,3850,11,2005,1,14,2005,Jan,Apr,Jul,Oct
197,2,0,4210,3,2015,0,0,2015,Jan,Apr,Jul,Oct
198,0,0,290,9,2002,1,13,2002,Jan,Apr,Jul,Oct
199,3,2,6360,12,2010,1,14,2010,Mar,Jun,Sept,Dec
200,0,0,1650,10,2000,0,0,2000,Jan,Apr,Jul,Oct
201,3,0,16107,1,1990,1,18,1990,Mar,Jun,Sept,Dec
202,3,2,5140,5,2010,0,0,2010,Jan,Apr,Jul,Oct
203,2,2,490,11,2002,0,0,2002,Jan,Apr,Jul,Oct
204,0,0,5630,12,2002,1,40,2002,Jan,Apr,Jul,Oct
205,0,0,110,12,2007,0,0,2007,Jan,Apr,Jul,Oct
206,0,2,380,1,1990,1,14,1990,Jan,Apr,Jul,Oct
207,0,0,6870,1,1990,0,0,1990,Jan,Apr,Jul,Oct
208,2,0,300,4,2006,0,0,2006,Jan,Apr,Jul,Oct
209,0,2,11680,9,2011,1,31,2011,Jan,Apr,Jul,Oct
210,3,0,970,11,1999,1,5,1999,Feb,May,Aug,Nov
211,0,2,350,11,2006,0,0,2006,Jan,Apr,Jul,Oct
212,0,2,15050,9,2008,0,0,2008,Jan,Apr,Jul,Oct
213,3,2,4030,3,2014,1,1,2014,Jan,Apr,Jul,Oct
214,3,0,8650,7,2013,1,10,2013,Jan,Apr,Jul,Oct
215,3,0,150,1,1990,1,45,1990,Feb,May,Aug,Nov
216,2,0,190,1,1990,1,45,1990,Feb,May,Aug,Nov
217,2,0,3150,1,1990,0,0,1990,Jan,Apr,Jul,Oct
218,0,2,640,1,1990,1,9,1990,Mar,Jun,Sept,Dec
219,0,0,1640,2,2013,0,0,2013,Jan,Apr,Jul,Oct
220,0,0,1000,9,2008,0,0,2008,Jan,Apr,Jul,Oct
221,3,2,13530,9,2013,0,0,2013,Jan,Apr,Jul,Oct
222,0,0,2170,11,2008,0,0,2008,Jan,Apr,Jul,Oct
223,3,2,2920,10,1995,1,27,1995,Jan,Apr,Jul,Oct
224,3,2,7930,1,1990,1,1,1990,Jan,Apr,Jul,Oct
225,3,0,10180,5,2015,0,0,2015,Jan,Apr,Jul,Oct
226,0,0,450,1,1990,0,0,1990,Jan,Apr,Jul,Oct
227,0,0,2370,1,1990,0,0,1990,Jan,Apr,Jul,Oct
228,3,2,10800,1,1990,1,18,1990,Feb,May,Aug,Nov
229,3,2,16107,4,2007,1,14,2007,Jan,Apr,Jul,Oct
230,3,2,6680,9,2013,0,0,2013,Jan,Apr,Jul,Oct
231,3,2,3840,10,2008,1,39,2008,Feb,May,Aug,Nov
232,2,2,13570,5,2010,1,10,2010,Mar,Jun,Sept,Dec
233,0,0,1890,1,1990,0,0,1990,Jan,Apr,Jul,Oct
234,3,0,4370,1,1990,0,0,1990,Jan,Apr,Jul,Oct
235,0,0,5710,3,2012,1,37,2012,Jan,Apr,Jul,Oct
236,0,0,1000,11,2007,0,0,2007,Jan,Apr,Jul,Oct
237,0,0,1420,11,2007,0,0,2007,Jan,Apr,Jul,Oct
238,0,0,320,1,1990,1,45,1990,Feb,May,Aug,Nov
239,3,2,610,1,1990,0,0,1990,Jan,Apr,Jul,Oct
240,0,0,1110,5,2009,0,0,2009,Jan,Apr,Jul,Oct
241,3,2,780,1,1990,0,0,1990,Jan,Apr,Jul,Oct
242,3,0,6880,9,2001,1,14,2001,Jan,Apr,Jul,Oct
243,0,0,310,1,1990,1,5,1990,Feb,May,Aug,Nov
244,3,0,710,3,2012,1,1,2012,Jan,Apr,Jul,Oct
245,0,2,1310,1,1990,0,0,1990,Jan,Apr,Jul,Oct
246,2,0,4660,4,2013,0,0,2013,Jan,Apr,Jul,Oct
247,3,2,70,11,2010,1,5,2010,Feb,May,Aug,Nov
248,0,2,340,9,2012,1,40,2012,Jan,Apr,Jul,Oct
249,3,2,16107,9,2014,0,0,2014,Jan,Apr,Jul,Oct
250,3,0,3520,1,1990,1,18,1990,Feb,May,Aug,Nov
251,0,2,340,1,1990,0,0,1990,Jan,Apr,Jul,Oct
252,3,2,16107,1,1990,1,5,1990,Feb,May,Aug,Nov
253,0,2,250,1,1990,1,5,1990,Feb,May,Aug,Nov
254,3,0,330,3,2008,1,1,2008,Mar,Jun,Sept,Dec
255,2,2,4630,3,2011,1,35,2011,Feb,May,Aug,Nov
256,0,2,80,9,2005,1,10,2005,Mar,Jun,Sept,Dec
257,0,0,420,12,2012,0,0,2012,Jan,Apr,Jul,Oct
258,0,0,16107,7,2010,1,37,2010,Jan,Apr,Jul,Oct
259,1,1,210,1,1990,0,0,1990,Jan,Apr,Jul,Oct
260,0,0,540,10,2011,0,0,2011,Jan,Apr,Jul,Oct
261,3,2,15340,4,2015,1,39,2015,Jan,Apr,Jul,Oct
262,1,0,1180,5,2013,0,0,2013,Jan,Apr,Jul,Oct
263,0,2,1140,5,2013,1,40,2013,Jan,Apr,Jul,Oct
264,0,0,180,3,2014,0,0,2014,Jan,Apr,Jul,Oct
265,0,0,4580,1,1990,1,14,1990,Jan,Apr,Jul,Oct
266,0,2,360,3,2014,1,9,2014,Mar,Jun,Sept,Dec
267,2,0,2460,1,2012,0,0,2012,Jan,Apr,Jul,Oct
268,0,0,4520,2,2014,0,0,2014,Jan,Apr,Jul,Oct
269,0,2,60,6,2015,0,0,2015,Jan,Apr,Jul,Oct
270,0,0,1450,7,2014,0,0,2014,Jan,Apr,Jul,Oct
271,0,0,420,1,1990,1,14,1990,Jan,Apr,Jul,Oct
272,0,0,16107,7,2003,1,14,2003,Jan,Apr,Jul,Oct
273,0,2,8480,1,1990,0,0,1990,Jan,Apr,Jul,Oct
274,1,1,3640,1,1990,1,10,1990,Jan,Apr,Jul,Oct
275,3,0,300,5,2014,1,40,2014,Jan,Apr,Jul,Oct
276,0,0,2960,10,2014,1,36,2014,Mar,Jun,Sept,Dec
277,3,2,7840,1,1990,1,31,1990,Feb,May,Aug,Nov
